"time/s";"Ewe/V";"Ece/V";"Ewe-Ece/V";"I/mA";"(Q-Qo)/mA.h";"Q charge/mA.h";"Q discharge/mA.h";"cycle number";"Efficiency/%";"|Ewe|/V";"|Ece|/V";"freq/Hz";"Re(Z)/Ohm";"-Im(Z)/Ohm";"|Z|/Ohm";"Phase(Z)/deg"
2580,0001;-2,532607316970825E+000;-2,700658440589905E-001;-2,262541532516479E+000;-1,103088256669988E+001;-4,228520856170389E+000;0,000000000000000E+000;4,228520856170389E+000;0,000000000000000E+000;;;;;;;;
2610,0001;-2,532397508621216E+000;-2,680435478687286E-001;-2,264353990554810E+000;-1,103105782817001E+001;-4,320446335749573E+000;0,000000000000000E+000;4,320446335749573E+000;0,000000000000000E+000;;;;;;;;
2640,0001;-2,532035112380981E+000;-2,659258544445038E-001;-2,266109228134155E+000;-1,103092879849858E+001;-4,412370740081522E+000;0,000000000000000E+000;4,412370740081522E+000;0,000000000000000E+000;;;;;;;;
2670,0001;-2,533981323242188E+000;-2,662311196327209E-001;-2,267750263214111E+000;-1,103089872367254E+001;-4,504294893789927E+000;0,000000000000000E+000;4,504294893789927E+000;0,000000000000000E+000;;;;;;;;
2700,0001;-2,534324645996094E+000;-2,646476328372955E-001;-2,269676923751831E+000;-1,103087284927969E+001;-4,596218831878398E+000;0,000000000000000E+000;4,596218831878398E+000;0,000000000000000E+000;;;;;;;;
2730,0001;-2,534057617187500E+000;-2,627779543399811E-001;-2,271279573440552E+000;-1,103094998930137E+001;-4,688143412800365E+000;0,000000000000000E+000;4,688143412800366E+000;0,000000000000000E+000;;;;;;;;
2760,0001;-2,531901359558105E+000;-2,587906122207642E-001;-2,273110866546631E+000;-1,103095528332566E+001;-4,780068037839201E+000;0,000000000000000E+000;4,780068037839201E+000;0,000000000000000E+000;;;;;;;;
2790,0001;-2,534362792968750E+000;-2,597254514694214E-001;-2,274637222290039E+000;-1,103074010395951E+001;-4,871990869716697E+000;0,000000000000000E+000;4,871990869716697E+000;0,000000000000000E+000;;;;;;;;
2820,0001;-2,535355091094971E+000;-2,587715387344360E-001;-2,276583671569824E+000;-1,103067648581928E+001;-4,963913171443038E+000;0,000000000000000E+000;4,963913171443038E+000;0,000000000000000E+000;;;;;;;;
2850,0001;-2,536461830139160E+000;-2,584281265735626E-001;-2,278033733367920E+000;-1,103059580682656E+001;-5,055834800844457E+000;0,000000000000000E+000;5,055834800844457E+000;0,000000000000000E+000;;;;;;;;
2880,0001;-2,538026332855225E+000;-2,582373619079590E-001;-2,279788970947266E+000;-1,103076833886801E+001;-5,147757868012852E+000;0,000000000000000E+000;5,147757868012852E+000;0,000000000000000E+000;;;;;;;;
2910,0001;-2,539552927017212E+000;-2,580656409263611E-001;-2,281487226486206E+000;-1,103083405290471E+001;-5,239681482798206E+000;0,000000000000000E+000;5,239681482798206E+000;0,000000000000000E+000;;;;;;;;
2940,0001;-2,539362192153931E+000;-2,564440071582794E-001;-2,282918214797974E+000;-1,103067929662181E+001;-5,331603807947901E+000;0,000000000000000E+000;5,331603807947901E+000;0,000000000000000E+000;;;;;;;;
2970,0001;-2,540964841842651E+000;-2,561769187450409E-001;-2,284787893295288E+000;-1,103060698759644E+001;-5,423525530522399E+000;0,000000000000000E+000;5,423525530522400E+000;0,000000000000000E+000;;;;;;;;
3000,0001;-2,544055938720703E+000;-2,578176259994507E-001;-2,286238193511963E+000;-1,103071544627711E+001;-5,515448156919215E+000;0,000000000000000E+000;5,515448156919215E+000;0,000000000000000E+000;;;;;;;;
3030,0001;-2,543063879013062E+000;-2,549368441104889E-001;-2,288126945495605E+000;-1,103089182566338E+001;-5,607372253144211E+000;0,000000000000000E+000;5,607372253144211E+000;0,000000000000000E+000;;;;;;;;
3060,0001;-2,543159246444702E+000;-2,535250484943390E-001;-2,289634227752686E+000;-1,103090218932509E+001;-5,699296435733054E+000;0,000000000000000E+000;5,699296435733054E+000;0,000000000000000E+000;;;;;;;;
